frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,72,23,239,329,262,257,0.48,0
2,398,72,295,280,616,258,0.48,0
3,733,143,342,210,970,260,0.48,0
4,1062,199,378,151,1320,255,0.48,0
5,51,475,319,197,271,535,0.48,0
6,441,477,269,227,627,539,0.48,0
7,781,481,256,190,981,547,0.48,0
8,1123,474,220,167,1320,535,0.48,0
9,66,803,258,208,288,926,0.48,0
10,441,748,275,262,649,930,0.48,0
11,800,706,250,306,1008,934,0.48,0
12,1143,696,235,315,1350,930,0.48,0
