frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,62,51,287,376,205,424,0.43010752688172044,2
2,501,70,287,356,644,423,0.43010752688172044,2
3,945,87,294,340,1091.5,424,0.43010752688172044,2
4,1389,102,299,324,1538,423,0.43010752688172044,2
5,54,513,299,336,203,846,0.43010752688172044,2
6,503,502,286,348,645.5,847,0.43010752688172044,2
7,947,485,284,364,1088.5,846,0.43010752688172044,2
8,1393,485,281,364,1533,846,0.43010752688172044,2
