frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,80,84,248,332,236,413,0.48,1
2,506,85,275,328,682,413,0.48,1
3,914,85,316,330,1130,413,0.48,1
4,1395,61,296,354,1591,413,0.48,1
5,44,463,342,398,270,860,0.48,1
6,488,530,318,332,706,860,0.48,1
7,963,530,266,332,1149,860,0.48,1
8,1419,530,255,333,1590,860,0.48,1
