frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,85,65,258,343,252,405,0.47058823529411764,0
2,507,81,273,327,678,405,0.47058823529411764,0
3,935,78,355,330,1114,405,0.47058823529411764,0
4,1372,83,372,325,1554,405,0.47058823529411764,0
5,45,522,332,327,237,846,0.47058823529411764,0
6,495,525,275,324,662,846,0.47058823529411764,0
7,947,513,262,336,1119,846,0.47058823529411764,0
8,1407,505,257,344,1554,846,0.47058823529411764,0
