frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,56,69,276,368,193.5,434,0.43956043956043955,0
2,499,69,277,368,637,434,0.43956043956043955,0
3,943,69,277,368,1081,434,0.43956043956043955,0
4,1386,69,277,368,1524,434,0.43956043956043955,0
5,56,513,276,368,193.5,878,0.43956043956043955,0
6,499,513,277,368,637,878,0.43956043956043955,0
7,943,513,277,367,1081,877,0.43956043956043955,0
8,1386,513,277,368,1524,878,0.43956043956043955,0
