frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,62,47,279,389,201,433,0.4155844155844156,1
2,498,59,275,378,635,434,0.4155844155844156,1
3,935,72,285,365,1077,434,0.4155844155844156,1
4,1374,80,281,357,1514,434,0.4155844155844156,1
5,73,500,277,355,211,852,0.4155844155844156,1
6,515,511,278,344,653.5,852,0.4155844155844156,1
7,957,517,276,339,1094.5,853,0.4155844155844156,1
8,1398,518,277,338,1536,853,0.4155844155844156,1
