frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,72,71,279,361,211,429,0.42328042328042326,0
2,508,54,305,377,660,428,0.42328042328042326,0
3,944,58,303,373,1095,428,0.42328042328042326,0
4,1381,57,308,374,1534.5,428,0.42328042328042326,0
5,70,482,305,382,222,861,0.42328042328042326,0
6,511,489,296,375,658.5,861,0.42328042328042326,0
7,953,504,274,360,1089.5,861,0.42328042328042326,0
8,1395,504,275,360,1532,861,0.42328042328042326,0
