frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,60,34,266,319,212,382,0.59,1
2,379,47,328,303,558,382,0.59,1
3,722,105,356,279,890,382,0.59,1
4,1075,135,353,250,1240,382,0.59,1
5,36,390,333,324,202,712,0.59,1
6,393,423,328,292,556,712,0.59,1
7,731,507,365,207,913,712,0.59,1
8,1087,418,333,296,1253,712,0.59,1
9,65,768,285,259,207,1028,0.59,1
10,440,784,256,247,567,1028,0.59,1
11,794,777,215,254,901,1028,0.59,1
12,1158,780,200,251,1257,1028,0.59,1
