frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,90,55,305,378,242,430,0.42780748663101603,0
2,530,58,306,375,682.5,430,0.42780748663101603,0
3,963,67,309,366,1117,430,0.42780748663101603,0
4,1406,69,309,364,1560,430,0.42780748663101603,0
5,86,483,318,367,244.5,847,0.42780748663101603,0
6,532,479,314,371,688.5,847,0.42780748663101603,0
7,970,483,308,367,1123.5,847,0.42780748663101603,0
8,1415,481,308,369,1568.5,847,0.42780748663101603,0
