frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,58,68,276,367,195.5,432,0.42780748663101603,0
2,502,62,284,373,643.5,432,0.42780748663101603,0
3,945,60,292,375,1090.5,432,0.42780748663101603,0
4,1388,57,297,378,1536,432,0.42780748663101603,0
5,57,498,278,366,195.5,861,0.42780748663101603,0
6,501,498,276,366,638.5,861,0.42780748663101603,0
7,945,502,274,361,1081.5,860,0.42780748663101603,0
8,1389,502,274,362,1525.5,861,0.42780748663101603,0
