frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,13,163,440,205,279,242,0.47,0
2,470,142,419,226,723,242,0.47,0
3,908,120,421,248,1165,242,0.47,0
4,1352,99,417,269,1608,242,0.47,0
5,25,567,425,241,279,681,0.47,0
6,459,595,430,213,723,681,0.47,0
7,906,624,428,184,1165,681,0.47,0
8,1348,596,422,212,1608,681,0.47,0
