frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,54,30,310,400,208.5,427,0.40302267002518893,0
2,498,29,311,401,653,427,0.40302267002518893,0
3,941,28,312,401,1096.5,426,0.40302267002518893,0
4,1384,29,318,401,1542.5,427,0.40302267002518893,0
5,53,472,313,401,209,870,0.40302267002518893,0
6,498,472,310,400,652.5,869,0.40302267002518893,0
7,942,472,309,400,1096,869,0.40302267002518893,0
8,1385,472,310,401,1539.5,870,0.40302267002518893,0
