frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,82,79,253,332,245,408,0.49,0
2,502,143,318,264,674,408,0.49,0
3,939,204,317,202,1108,408,0.49,0
4,1353,96,340,310,1575,408,0.49,0
5,48,478,354,354,251,831,0.49,0
6,497,491,376,343,656,831,0.49,0
7,929,466,354,350,1090,831,0.49,0
8,1379,434,365,384,1560,831,0.49,0
